# Anki Cards: Programming Basics for Beginner QA Automation
# Формат: Вопрос;Ответ
# Импорт в Anki: File → Import → выбрать разделитель ";"
# Теги: programming, python, qa, automation, beginner

# ===== ОСНОВЫ ПЕРЕМЕННЫХ (1-10) =====

Что такое переменная в Python?;Именованная область памяти для хранения данных. Пример: name = "Test" создаёт переменную name со значением "Test"

Как правильно именовать переменные в Python?;snake_case для переменных и функций: user_name, test_result, max_retry_count. Без пробелов, только буквы, цифры и _

Какие имена переменных НЕЛЬЗЯ использовать в Python?;1) Начинающиеся с цифры (1name) 2) Зарезервированные слова (if, for, class) 3) С пробелами 4) Со спецсимволами кроме _

Что такое динамическая типизация в Python?;Тип переменной определяется автоматически при присваивании и может меняться: x = 5 (int) → x = "hello" (str)

Как выполнить множественное присваивание в Python?;a, b, c = 1, 2, 3 — присваивает сразу несколько значений разным переменным

Как поменять значения двух переменных местами в Python?;a, b = b, a — элегантный способ без временной переменной

Что такое константа в Python и как её обозначить?;Переменная, значение которой не должно меняться. Обозначается ЗАГЛАВНЫМИ: MAX_RETRIES = 3, BASE_URL = "https://api.com"

Как проверить тип переменной?;type(variable) возвращает тип. isinstance(variable, int) проверяет принадлежность к типу

Что такое None в Python?;Специальный объект, означающий отсутствие значения. Используется для переменных без значения: result = None

В чём разница между is и ==?;== сравнивает значения, is сравнивает идентичность (один объект в памяти). Для None всегда используйте is: if x is None

# ===== ОСНОВНЫЕ ТИПЫ ДАННЫХ (11-25) =====

Какие основные типы данных в Python?;int (целые числа), float (дробные), str (строки), bool (логические), list (списки), dict (словари)

Как преобразовать строку в число?;int("42") → 42, float("3.14") → 3.14. При ошибке выбросит ValueError

Как преобразовать число в строку?;str(42) → "42", str(3.14) → "3.14". Также можно f"{number}"

Что такое bool и какие значения принимает?;Логический тип: True или False. Используется в условиях и проверках

Какие значения считаются False (falsy)?;False, None, 0, 0.0, "" (пустая строка), [] (пустой список), {} (пустой словарь)

Какие значения считаются True (truthy)?;Всё остальное: непустые строки, ненулевые числа, непустые коллекции

Что такое str и как создать строку?;Неизменяемая последовательность символов: 'text', "text", для многострочного текста '''text'''

Что такое f-строка (f-string)?;Форматированная строка с выражениями: name = "Test"; f"Hello, {name}!" → "Hello, Test!"

Что такое list и его особенности?;Изменяемая упорядоченная коллекция: [1, 2, 3]. Может содержать разные типы. Индексация начинается с 0

Как получить элемент списка по индексу?;my_list[0] — первый элемент, my_list[-1] — последний элемент, my_list[1:3] — срез от 1 до 3

Как добавить элемент в список?;my_list.append(item) — добавить в конец, my_list.insert(0, item) — добавить в начало

Как удалить элемент из списка?;my_list.remove(item) — удалить по значению, my_list.pop() — удалить последний, del my_list[0] — удалить по индексу

Что такое dict и как создать?;Словарь ключ-значение: {"name": "Test", "age": 25}. Быстрый поиск элементов по ключу

Как работать с dict?;my_dict["key"] — получить значение, my_dict["key"] = "value" — добавить/изменить, my_dict.get("key") — безопасное получение

Что произойдет при обращении к несуществующему ключу?;my_dict["missing_key"] выбросит KeyError. Безопасно: my_dict.get("missing_key") вернет None

# ===== ОСНОВНЫЕ ОПЕРАТОРЫ (26-40) =====

Какие арифметические операторы в Python?;+ (сложение), - (вычитание), * (умножение), / (деление), // (целочисленное деление), % (остаток), ** (степень)

В чём разница между / и //?;/ — обычное деление (возвращает float): 7/2 = 3.5. // — целочисленное деление: 7//2 = 3

Что делает оператор %?;Возвращает остаток от деления: 7 % 3 = 1, 10 % 2 = 0. Полезно для проверки четности

Что делает оператор **?;Возведение в степень: 2**3 = 8, 9**0.5 = 3.0 (квадратный корень)

Какие операторы сравнения в Python?;== (равно), != (не равно), < (меньше), > (больше), <= (меньше или равно), >= (больше или равно)

Какие логические операторы в Python?;and (И), or (ИЛИ), not (НЕ). Пример: if age >= 18 and has_license:

Как работает оператор and?;Возвращает True только если ОБА условия True. True and False → False

Как работает оператор or?;Возвращает True если ХОТЯ БЫ ОДНО условие True. True or False → True

Как работает оператор not?;Инвертирует логическое значение: not True → False, not False → True

Что такое оператор in?;Проверка принадлежности: "a" in "abc" → True, 1 in [1,2,3] → True, "key" in {"key": "value"} → True

Что такое оператор not in?;Проверка отсутствия: "x" not in "abc" → True, 4 not in [1,2,3] → True

Что такое тернарный оператор в Python?;value = a if condition else b. Пример: status = "pass" if score >= 60 else "fail"

Как работает оператор + со строками?;"Hello" + " " + "World" → "Hello World". Объединение (конкатенация) строк

Как работает оператор * со строками?;"ab" * 3 → "ababab". Повторение строки указанное количество раз

Как проверить несколько значений одновременно?;if value in (1, 2, 3): — проверка входит ли value в список значений

# ===== УСЛОВИЯ И ВЕТВЛЕНИЯ (41-55) =====

Как написать простое условие if?;if condition:\n    # код выполнится если condition True\n    print("True")

Как добавить альтернативу с else?;if condition:\n    # если True\n    print("Yes")\nelse:\n    # если False\n    print("No")

Как проверить несколько условий с elif?;if x < 0:\n    print("negative")\nelif x == 0:\n    print("zero")\nelse:\n    print("positive")

Как объединить условия с and?;if age >= 18 and has_license:\n    print("can drive"). Оба условия должны быть True

Как объединить условия с or?;if is_admin or is_owner:\n    print("has access"). Достаточно одного True условия

Как инвертировать условие с not?;if not is_empty:\n    process(data). not превращает True в False и наоборот

Как проверить на None?;if value is None: или if value is not None:. Всегда используйте is для проверки None

Как проверить пустой список?;if not my_list: — pythonic способ. Пустой список воспринимается как False

Как проверить непустую строку?;if my_string: — выполнится если строка непустая. Пустая строка "" воспринимается как False

Как проверить принадлежность к диапазону?;if 0 <= x <= 100: — проверка что x между 0 и 100 включительно

Как проверить несколько значений одновременно?;if value in (1, 2, 3): — проверка входит ли value в указанные значения

Что такое вложенные условия?;if внутри if: if weather == "sunny":\n    if temperature > 20:\n        print("go outside"). Избегайте глубокой вложенности

Как использовать тернарный оператор?;result = "pass" if score >= 60 else "fail" — краткая запись условного присваивания

Как проверить тип переменной в условии?;if isinstance(value, str): или if type(value) == str:. isinstance предпочтительнее

Когда использовать elif вместо нескольких if?;elif для взаимоисключающих условий. if для независимых проверок

# ===== ЦИКЛЫ FOR (56-70) =====

Как написать простой цикл for?;for item in collection:\n    print(item) — итерация по каждому элементу коллекции

Как итерировать по range?;for i in range(5): print(i) → выведет 0, 1, 2, 3, 4. range(start, stop, step)

Какие параметры у range()?;range(stop), range(start, stop), range(start, stop, step). Конечная точка stop НЕ включается

Как получить индекс и значение одновременно?;for i, value in enumerate(items): print(f"{i}: {value}"). enumerate возвращает (index, value)

Как итерировать по словарю?;for key in dict: — по ключам, for key, value in dict.items(): — по парам ключ-значение

Как итерировать по строке?;for char in "hello": print(char) → выведет h, e, l, l, o. Строка — итерируемый объект

Что делает break в цикле?;Немедленно прерывает цикл: for i in range(10): if i == 5: break — остановится на 5

Что делает continue в цикле?;Пропускает текущую итерацию: for i in range(5): if i == 2: continue — пропустит 2

Как итерировать по двум спискам параллельно?;for a, b in zip(list1, list2): print(a, b). Останавливается на более короткой коллекции

Как создать список из цикла?;List comprehension: squares = [x**2 for x in range(10)] — быстрее и читаемее обычного цикла

Как отфильтровать элементы в list comprehension?;[x for x in range(10) if x % 2 == 0] → [0, 2, 4, 6, 8] — только четные числа

Как итерировать в обратном порядке?;for i in range(10, 0, -1): или for item in reversed(collection):

Что такое вложенные циклы?;Цикл внутри цикла: for i in range(3): for j in range(3): print(i, j)

Как начать enumerate с 1?;for i, value in enumerate(items, start=1): — индексация начинается с 1

Можно ли изменять список во время итерации?;НЕЛЬЗЯ изменять размер. Для удаления используйте: for item in list.copy(): if condition: list.remove(item)

# ===== ЦИКЛЫ WHILE (71-80) =====

Как написать простой цикл while?;while condition:\n    # код выполняется пока condition True\n    # НЕ ЗАБУДЬТЕ изменять condition внутри!

Когда использовать while вместо for?;Когда количество итераций неизвестно заранее: while not found:, while user_input != "quit":

Как избежать бесконечного цикла?;1) Обязательно изменять условие внутри цикла 2) Использовать break 3) Добавить счетчик с лимитом

Что такое while True и когда использовать?;Бесконечный цикл. Используйте с break: while True: data = get_data(); if not data: break

Что делает break в while?;Немедленно прерывает цикл. Пример: while True: if condition: break

Что делает continue в while?;Пропускает оставшийся код итерации, переходит к проверке условия

Как создать countdown с while?;count = 10\nwhile count > 0:\n    print(count)\n    count -= 1\nprint("Launch!")

Как читать пользовательский ввод до выхода?;while True:\n    user_input = input("Enter command: ")\n    if user_input == "quit": break\n    process(user_input)

Как ограничить while по количеству попыток?;attempts = 0\nwhile attempts < 3:\n    if success: break\n    attempts += 1

Что эффективнее: for или while?;for обычно предпочтительнее — читаемее, меньше ошибок. while — когда условие сложнее простого счётчика

# ===== ОСНОВЫ ФУНКЦИЙ (81-95) =====

Как определить простую функцию?;def function_name(parameters):\n    """Описание функции"""\n    # тело функции\n    return result

Что такое параметры функции?;Переменные, которые функция принимает: def greet(name, age): — name и age это параметры

Что такое аргументы функции?;Значения, которые передаются при вызове: greet("Alice", 25) — "Alice" и 25 это аргументы

Что такое параметры по умолчанию?;def greet(name, greeting="Hello"):\n    return f"{greeting}, {name}!" — greeting имеет значение по умолчанию

Что вернёт функция без return?;None. Также return без значения возвращает None

Как вернуть несколько значений?;def get_name_age(): return "Alice", 25 — возвращает tuple. name, age = get_name_age()

Что такое docstring?;Строка документации в начале функции: def f():\n    """Описание функции"""\n    pass

Как вызвать функцию?;function_name(arguments) — имя функции и аргументы в скобках: greet("Alice", 30)

Что такое область видимости функции?;Переменные внутри функции видны только внутри неё. Локальные переменные не влияют на глобальные

Как функция получает доступ к глобальным переменным?;Может читать глобальные переменные. Для изменения нужно: global variable_name

Можно ли определить функцию внутри функции?;Да, это называется вложенной функцией: def outer(): def inner(): pass

Что такое именованные аргументы?;Передача аргументов по имени: greet(name="Alice", greeting="Hi") — можно в любом порядке

Как проверить сколько параметров принимает функция?;import inspect; len(inspect.signature(func).parameters)

Что произойдёт при передаче неверного количества аргументов?;TypeError с описанием ожидаемого и переданного количества аргументов

Зачем нужны функции в программировании?;1) Избежать повторения кода 2) Разбить программу на части 3) Упростить тестирование 4) Повысить читаемость

# ===== ОСНОВЫ LIST COMPREHENSION (96-100) =====

Что такое list comprehension?;Краткий способ создания списков: [expression for item in iterable]. Пример: [x**2 for x in range(5)] → [0, 1, 4, 9, 16]

Как добавить условие в list comprehension?;[x for x in range(10) if x % 2 == 0] → [0, 2, 4, 6, 8] — фильтрация четных чисел

Когда НЕ использовать comprehension?;1) Сложная логика больше 2 условий 2) Многострочный код 3) Когда обычный цикл читаемее

